GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ExponentialBackoffRetryPolicy,25,15,2,0,2,5,3,1,2,1
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.31.new AsyncCallback.ChildrenCallback() {...},10,27,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.Builder,22,158,3,7,10,35,5,10,2,8
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.ZkRetryRunnable,4,23,1,1,1,8,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooWorker,48,135,14,14,8,41,14,7,1,6
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.18.new AsyncCallback.StatCallback() {...},37,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.17.new AsyncCallback.StatCallback() {...},37,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.8.new AsyncCallback.VoidCallback() {...},10,26,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.28.new AsyncCallback.Children2Callback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},23,29,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},22,29,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},26,49,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},53,0,2,0,7,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},24,34,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},75,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},93,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},70,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},34,59,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},25,49,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},54,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},7,24,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},59,0,2,0,6,0,4,0,3,0
